"Dataset","#TrainingRelease","%Training","%DefectiveInTraining","%DefectiveInTesting","Classifier","Balancing","Feature Selection","TruePositive","FalsePositive","TrueNegative","FalseNegative","Precision","Recall","AUC","Kappa"
"TAJO","2","40.0","0.0","0.008597528210639442","Random Forest","No Sampling","No Selection","0.0","0.0","1.0","1.0","NaN","0.0","0.5","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Random Forest","No Sampling","Best First","0.0","0.0","1.0","1.0","NaN","0.0","0.5","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Random Forest","Undersampling","No Selection","0.0","0.0","1.0","1.0","NaN","0.0","0.5","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Random Forest","Undersampling","Best First","0.0","0.0","1.0","1.0","NaN","0.0","0.5","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Random Forest","Oversampling","No Selection","0.0","0.0","1.0","1.0","NaN","0.0","0.5","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Random Forest","Oversampling","Best First","0.0","0.0","1.0","1.0","NaN","0.0","0.5","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Random Forest","SMOTE","No Selection","0.0","0.0","1.0","1.0","NaN","0.0","0.5","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Random Forest","SMOTE","Best First","0.0","0.0","1.0","1.0","NaN","0.0","0.5","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Naive Bayes","No Sampling","No Selection","0.0","0.0","1.0","1.0","NaN","0.0","0.22559652928416485","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Naive Bayes","No Sampling","Best First","0.0","0.0","1.0","1.0","NaN","0.0","0.4313991323210412","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Naive Bayes","UnderSampling","No Selection","0.0","0.0","1.0","1.0","NaN","0.0","0.22559652928416485","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Naive Bayes","Undersampling","Best First","0.0","0.0","1.0","1.0","NaN","0.0","0.4313991323210412","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Naive Bayes","Oversampling","No Selection","0.0","0.0","1.0","1.0","NaN","0.0","0.22532537960954446","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Naive Bayes","Oversampling","Best First","0.0","0.0","1.0","1.0","NaN","0.0","0.4313313449023861","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Naive Bayes","SMOTE","No Selection","0.0","0.0","1.0","1.0","NaN","0.0","0.22640997830802603","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","Naive Bayes","SMOTE","Best First","0.0","0.0","1.0","1.0","NaN","0.0","0.4316024945770065","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","IBK","No Sampling","No Selection","0.0","0.0","1.0","1.0","NaN","0.0","0.5","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","IBK","No Sampling","Best First","0.0","0.0","1.0","1.0","NaN","0.0","0.5","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","IBK","Undersampling","No Selection","0.0","0.0","1.0","1.0","NaN","0.0","0.5","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","IBK","Undersampling","Best First","0.0","0.0","1.0","1.0","NaN","0.0","0.5","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","IBK","Oversampling","No Selection","0.0","0.0","1.0","1.0","NaN","0.0","0.5070498915401301","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","IBK","Oversampling","Best First","0.0","0.0","1.0","1.0","NaN","0.0","0.5017624728850325","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","IBK","SMOTE","No Selection","0.0","0.0","1.0","1.0","NaN","0.0","0.5043383947939263","0.0"
"TAJO","2","40.0","0.0","0.008597528210639442","IBK","SMOTE","Best First","0.0","0.0","1.0","1.0","NaN","0.0","0.5010845986984815","0.0"
"TAJO","3","60.0","0.00429991937651169","0.014508328855454057","Random Forest","No Sampling","No Selection","0.1111111111111111","0.00436442989634479","0.9956355701036552","0.8888888888888888","0.2727272727272727","0.1111111111111111","0.8244731365298741","0.15075764061295913"
"TAJO","3","60.0","0.00429991937651169","0.014508328855454057","Random Forest","No Sampling","Best First","0.05555555555555555","0.0035460992907801418","0.9964539007092199","0.9444444444444444","0.1875","0.05555555555555555","0.7571957527631287","0.07960660604935857"
"TAJO","3","60.0","0.00429991937651169","0.014508328855454057","Random Forest","Undersampling","No Selection","0.9629629629629629","0.39989088925259136","0.6001091107474086","0.037037037037037035","0.034255599472990776","0.9629629629629629","0.8939706209209756","0.03922239252794212"
"TAJO","3","60.0","0.00429991937651169","0.014508328855454057","Random Forest","Undersampling","Best First","0.48148148148148145","0.20130932896890344","0.7986906710310966","0.5185185185185185","0.034031413612565446","0.48148148148148145","0.664961811238407","0.03747000453985345"
"TAJO","3","60.0","0.00429991937651169","0.014508328855454057","Random Forest","Oversampling","No Selection","0.5185185185185185","0.14839061647572285","0.8516093835242772","0.48148148148148145","0.04895104895104895","0.5185185185185185","0.7904366450465741","0.06464385534005274"
"TAJO","3","60.0","0.00429991937651169","0.014508328855454057","Random Forest","Oversampling","Best First","0.25925925925925924","0.07555919258046917","0.9244408074195308","0.7407407407407407","0.048109965635738834","0.25925925925925924","0.6821214968378089","0.058093950982929535"
"TAJO","3","60.0","0.00429991937651169","0.014508328855454057","Random Forest","SMOTE","No Selection","0.1111111111111111","0.004909983633387889","0.9950900163666121","0.8888888888888888","0.25","0.1111111111111111","0.813521650401083","0.14621932899349305"
